2、您的性别：,3、您的学历：,4、您当前所在的省市：,5、您目前使用的手机品牌是？,6、您一般更换手机的周期是多长？,7、您更换手机的动机是什么？,8、您目前所使用手机的价格？,9、您对5G网络的了解程度？,10、您目前使用的手机是否支持5G网络？,11、随着5G时代的到来，你最关心的是什么？,12、您是否了解5G手机的定价？,13、您对5G手机是否有购买意愿？,14、您最高能接受的5G手机价格？,15、如果购买5G手机，哪些因素对你的影响大？,16、您看好5G手机的未来发展趋势吗？
女,本科,浙江-杭州,华为/荣耀,两到三年,体验新功能┋手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,新应用场景,否,有,3001-4000元,价格→品牌→电池续航→配置（如像素、储存空间）→外观→网速→售后服务,看好
女,博士生及以上,北京-朝阳区,苹果,两到三年,手机性能/续航能力/空间不足,6001-7000元,一般了解,不支持,网络覆盖,否,有,7001元及以上,网速→价格→配置（如像素、储存空间）→品牌→电池续航→外观→售后服务,观望
男,本科,上海-杨浦区,华为/荣耀,三年以上,体验新功能┋手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,套餐资费,是,有,6001-7000元,品牌→价格→配置（如像素、储存空间）→外观→电池续航→网速→售后服务,看好
女,研究生,河北-石家庄,华为/荣耀,一到两年,手机性能/续航能力/空间不足┋丢失/损坏,2000元及以下,不了解,不支持,套餐资费,否,没有,3001-4000元,价格→网速→配置（如像素、储存空间）→售后服务,观望
女,本科,江苏-连云港,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,5001-6000元,一般了解,不支持,套餐资费,否,有,4001-5000元,价格→电池续航→配置（如像素、储存空间）→网速→售后服务→品牌→外观,看好
女,研究生,山西-太原,小米/红米,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,不支持,设备升级问题,否,没有,3001-4000元,价格→配置（如像素、储存空间）→电池续航→售后服务→网速→外观→品牌,看好
男,博士生及以上,黑龙江-哈尔滨,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000元及以下,一般了解,不支持,网络覆盖,否,有,2000-3000元,网速→价格,看好
男,本科,海外-美洲,小米/红米,一到两年,体验新功能┋手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,不支持,新应用场景,是,没有,4001-5000元,配置（如像素、储存空间）→价格→电池续航,看好
男,研究生,山东-潍坊,其他〖mate30 5G〗,两到三年,体验新功能┋手机性能/续航能力/空间不足,4001-5000元,非常了解,支持,网络覆盖,否,有,4001-5000元,配置（如像素、储存空间）→价格→电池续航→网速→外观→品牌→售后服务,看好
男,博士生及以上,北京-西城区,苹果,一到两年,手机性能/续航能力/空间不足,7001元及以上,非常了解,不支持,新应用场景,是,有,7001元及以上,价格→网速→配置（如像素、储存空间）→电池续航→品牌→外观→售后服务,看好
女,博士生及以上,陕西-西安,华为/荣耀,一到两年,手机性能/续航能力/空间不足,5001-6000元,一般了解,支持,套餐资费,是,有,5001-6000元,品牌→配置（如像素、储存空间）→电池续航→网速→价格→外观→售后服务,看好
女,研究生,吉林-长春,苹果,三年以上,手机性能/续航能力/空间不足,4001-5000元,一般了解,不了解,套餐资费,否,有,4001-5000元,价格→网速→配置（如像素、储存空间）→品牌→外观→电池续航→售后服务,观望
女,研究生,山东-济南,苹果,一到两年,手机性能/续航能力/空间不足,5001-6000元,非常了解,不支持,网络覆盖,是,没有,3001-4000元,价格→网速→电池续航,观望
女,研究生,山西-太原,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,网络覆盖,是,没有,2000-3000元,价格→品牌→配置（如像素、储存空间）→电池续航→网速→外观→售后服务,看好
女,本科,广西-柳州,苹果,半年到一年,体验新功能┋丢失/损坏,2000-3000元,不了解,支持,新应用场景,否,有,2000-3000元,价格→网速→配置（如像素、储存空间）,看好
女,本科,贵州-遵义,华为/荣耀,三年以上,丢失/损坏,4001-5000元,不了解,支持,套餐资费,是,有,4001-5000元,配置（如像素、储存空间）→价格→品牌→电池续航→网速→外观→售后服务,看好
男,本科,广东-广州,华为/荣耀,一到两年,手机性能/续航能力/空间不足┋丢失/损坏,2000元及以下,一般了解,不支持,套餐资费,是,没有,2000-3000元,价格→配置（如像素、储存空间）→电池续航,看好
男,本科,广东-佛山,苹果,半年到一年,手机性能/续航能力/空间不足,5001-6000元,一般了解,不支持,新应用场景,否,没有,7001元及以上,配置（如像素、储存空间）→售后服务→电池续航→价格→网速→外观→品牌,不看好
女,本科,辽宁-大连,小米/红米,两到三年,体验新功能┋手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,支持,套餐资费,否,有,4001-5000元,价格→配置（如像素、储存空间）→外观,看好
男,研究生,北京-朝阳区,苹果,三年以上,手机性能/续航能力/空间不足,4001-5000元,一般了解,不支持,套餐资费,是,没有,4001-5000元,价格,不看好
女,研究生,河北-廊坊,小米/红米,三年以上,丢失/损坏,3001-4000元,一般了解,不支持,套餐资费,否,没有,3001-4000元,价格→网速→配置（如像素、储存空间）,看好
男,博士生及以上,北京-海淀区,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,一般了解,不支持,新应用场景,否,没有,4001-5000元,价格→配置（如像素、储存空间）→售后服务,看好
男,本科,湖南-长沙,小米/红米,一到两年,手机性能/续航能力/空间不足,4001-5000元,一般了解,支持,新应用场景,是,有,4001-5000元,价格→配置（如像素、储存空间）→品牌→网速→外观→电池续航→售后服务,看好
男,本科,安徽-阜阳,华为/荣耀,一到两年,追求潮流┋体验新功能┋手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,手机价格,是,没有,3001-4000元,价格→配置（如像素、储存空间）→品牌→电池续航→售后服务→外观→网速,看好
男,专科,云南-玉溪,小米/红米,一到两年,体验新功能┋手机性能/续航能力/空间不足,3001-4000元,一般了解,支持,手机价格,是,有,3001-4000元,价格→网速→配置（如像素、储存空间）→售后服务→品牌→外观→电池续航,看好
女,本科,上海-闵行区,华为/荣耀,三年以上,丢失/损坏,4001-5000元,一般了解,不支持,网络覆盖,是,没有,5001-6000元,价格→配置（如像素、储存空间）→品牌→外观→电池续航→网速→售后服务,看好
男,本科,广东-中山,华为/荣耀,一到两年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,网络覆盖,是,有,3001-4000元,网速→价格→配置（如像素、储存空间）,观望
女,研究生,江西-宜春,华为/荣耀,两到三年,体验新功能┋手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,新应用场景,否,有,4001-5000元,配置（如像素、储存空间）→网速→电池续航→外观→价格→品牌→售后服务,看好
男,本科,北京-丰台区,小米/红米,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,手机价格,是,有,2000-3000元,价格→网速→电池续航→配置（如像素、储存空间）→外观→品牌→售后服务,看好
男,本科,湖北-武汉,OPPO,两到三年,丢失/损坏,2000元及以下,不了解,不支持,网络覆盖,否,有,3001-4000元,价格→电池续航→售后服务→外观→品牌→配置（如像素、储存空间）→网速,看好
女,研究生,山西-晋中,苹果,三年以上,丢失/损坏,7001元及以上,一般了解,不支持,套餐资费,是,有,4001-5000元,价格→网速→电池续航→配置（如像素、储存空间）→品牌→外观→售后服务,看好
女,本科,青海-海东,OPPO,两到三年,丢失/损坏,2000-3000元,一般了解,不支持,设备升级问题,是,有,2000-3000元,价格→网速→配置（如像素、储存空间）→外观,看好
女,研究生,安徽-合肥,小米/红米,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000元及以下,不了解,不支持,手机价格,否,没有,3001-4000元,价格→网速→配置（如像素、储存空间）→售后服务→外观→电池续航→品牌,看好
男,博士生及以上,北京-海淀区,小米/红米,一到两年,手机性能/续航能力/空间不足,2000-3000元,非常了解,不支持,套餐资费,是,没有,3001-4000元,配置（如像素、储存空间）→价格→网速→电池续航→外观→品牌→售后服务,看好
女,本科,山东-济宁,OPPO,三年以上,手机性能/续航能力/空间不足,2000-3000元,不了解,不支持,手机价格,是,没有,2000-3000元,价格→配置（如像素、储存空间）→网速,看好
男,本科,山西-太原,魅族,一到两年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,是,没有,3001-4000元,价格→外观→品牌→配置（如像素、储存空间）→网速→电池续航→售后服务,观望
男,本科,江西-南昌,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000元及以下,一般了解,支持,套餐资费,否,有,2000-3000元,网速→电池续航→价格,看好
男,博士生及以上,上海-长宁区,苹果,半年到一年,追求潮流┋体验新功能┋手机性能/续航能力/空间不足,7001元及以上,非常了解,支持,设备升级问题,是,有,7001元及以上,电池续航→外观→配置（如像素、储存空间）,看好
男,本科,广东-广州,苹果,两到三年,手机性能/续航能力/空间不足,5001-6000元,非常了解,不支持,套餐资费,否,有,4001-5000元,网速→配置（如像素、储存空间）→电池续航→外观→品牌→售后服务→价格,看好
女,研究生,北京-海淀区,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,否,有,2000-3000元,价格,看好
女,研究生,北京-海淀区,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,否,有,2000-3000元,价格→电池续航→网速→品牌→配置（如像素、储存空间）→外观→售后服务,看好
男,本科,新疆-喀什,小米/红米,两到三年,体验新功能┋手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,套餐资费,是,有,4001-5000元,配置（如像素、储存空间）→价格→电池续航,看好
男,本科,江苏-苏州,苹果,两到三年,手机性能/续航能力/空间不足┋其他〖系统稳定，营销类骚扰尽量少〗,6001-7000元,一般了解,不支持,手机价格,否,没有,5001-6000元,品牌→外观→配置（如像素、储存空间）→价格→电池续航→售后服务→网速,看好
女,本科,北京-朝阳区,华为/荣耀,一到两年,手机性能/续航能力/空间不足,3001-4000元,非常了解,支持,新应用场景,是,有,3001-4000元,品牌→价格→配置（如像素、储存空间）→电池续航→网速→外观→售后服务,看好
男,博士生及以上,北京-房山区,华为/荣耀,两到三年,丢失/损坏,3001-4000元,不了解,不支持,网络覆盖,否,没有,4001-5000元,网速→价格→配置（如像素、储存空间）,不看好
女,本科,四川-巴中,其他〖努比亚〗,一到两年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,是,有,2000-3000元,价格→外观→电池续航→配置（如像素、储存空间）→网速→售后服务→品牌,看好
女,本科,北京-海淀区,华为/荣耀,两到三年,手机性能/续航能力/空间不足,4001-5000元,一般了解,不支持,网络覆盖,否,有,4001-5000元,配置（如像素、储存空间）→网速→价格,看好
男,本科,浙江-杭州,其他〖iqoo〗,一到两年,追求潮流┋手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,否,有,3001-4000元,价格→电池续航,看好
男,本科,安徽-合肥,苹果,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,6001-7000元,一般了解,不支持,新应用场景,是,没有,7001元及以上,品牌→电池续航→配置（如像素、储存空间）→价格→网速→售后服务→外观,不看好
男,博士生及以上,北京-海淀区,其他〖MOTO〗,两到三年,丢失/损坏,7001元及以上,非常了解,不支持,新应用场景,是,有,7001元及以上,品牌→外观→售后服务→网速→配置（如像素、储存空间）→电池续航→价格,看好
女,本科,河北-秦皇岛,华为/荣耀,三年以上,其他〖用时间太久了〗,2000-3000元,不了解,不支持,套餐资费,否,没有,2000-3000元,价格→品牌→外观→售后服务,看好
男,本科,江苏-南京,苹果,一到两年,手机性能/续航能力/空间不足,5001-6000元,不了解,不支持,新应用场景,否,没有,5001-6000元,配置（如像素、储存空间）→品牌→售后服务→网速→外观→电池续航→价格,看好
男,本科,湖南-长沙,苹果,一到两年,手机性能/续航能力/空间不足,5001-6000元,一般了解,不支持,新应用场景,是,没有,5001-6000元,价格→网速→品牌,看好
女,研究生,湖北-荆门,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,不了解,不支持,设备升级问题,否,有,3001-4000元,配置（如像素、储存空间）→价格→品牌→外观→网速→电池续航→售后服务,看好
女,研究生,江苏-淮安,苹果,三年以上,手机性能/续航能力/空间不足,4001-5000元,不了解,不支持,网络覆盖,否,有,4001-5000元,网速→价格→配置（如像素、储存空间）→电池续航,看好
男,研究生,内蒙古-包头,VIVO,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,不了解,不支持,套餐资费,否,没有,3001-4000元,价格→配置（如像素、储存空间）→网速,观望
女,本科,广东-潮州,OPPO,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,不支持,套餐资费,否,没有,3001-4000元,价格→配置（如像素、储存空间）→电池续航→网速→外观→品牌→售后服务,观望
男,博士生及以上,安徽-合肥,VIVO,两到三年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,新应用场景,是,有,2000-3000元,配置（如像素、储存空间）→网速→价格→电池续航→外观→品牌→售后服务,看好
女,本科,四川-达州,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,支持,手机价格,是,有,2000-3000元,价格→配置（如像素、储存空间）→品牌→网速→电池续航→外观→售后服务,看好
女,研究生,湖南-长沙,苹果,一到两年,追求潮流┋手机性能/续航能力/空间不足,6001-7000元,一般了解,不支持,套餐资费,否,有,7001元及以上,电池续航→网速→配置（如像素、储存空间）,观望
女,本科,青海-西宁,华为/荣耀,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,不了解,新应用场景,是,没有,3001-4000元,价格→网速→电池续航,看好
女,研究生,陕西-西安,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,不了解,不支持,网络覆盖,否,没有,3001-4000元,配置（如像素、储存空间）→价格→外观→品牌→电池续航→网速→售后服务,看好
女,研究生,河北-唐山,OPPO,两到三年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,套餐资费,否,有,2000-3000元,品牌→价格→配置（如像素、储存空间）→售后服务→电池续航→网速→外观,看好
男,研究生,陕西-西安,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,一般了解,支持,套餐资费,否,有,4001-5000元,价格→配置（如像素、储存空间）→网速→外观→品牌→电池续航→售后服务,看好
女,本科,山西-朔州,VIVO,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,网络覆盖,否,有,2000-3000元,网速→配置（如像素、储存空间）→品牌→外观,看好
男,博士生及以上,浙江-杭州,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,一般了解,不支持,套餐资费,否,没有,4001-5000元,价格→网速→配置（如像素、储存空间）,观望
男,本科,甘肃-兰州,小米/红米,一到两年,体验新功能┋手机性能/续航能力/空间不足,3001-4000元,不了解,支持,网络覆盖,否,有,5001-6000元,价格→品牌→外观,看好
男,研究生,山东-青岛,华为/荣耀,三年以上,手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,网络覆盖,否,有,3001-4000元,网速,看好
女,本科,河南-郑州,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,6001-7000元,一般了解,不支持,套餐资费,否,没有,3001-4000元,配置（如像素、储存空间）→价格→电池续航→外观→网速→售后服务→品牌,看好
女,研究生,陕西-西安,苹果,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,5001-6000元,不了解,不支持,网络覆盖,否,没有,5001-6000元,品牌→价格,观望
女,研究生,山东-济南,华为/荣耀,两到三年,追求潮流┋手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,是,没有,4001-5000元,价格→配置（如像素、储存空间）→网速→外观→电池续航→品牌→售后服务,看好
女,本科,江苏-泰州,华为/荣耀,两到三年,手机性能/续航能力/空间不足,4001-5000元,一般了解,不支持,套餐资费,否,没有,6001-7000元,配置（如像素、储存空间）→网速→外观→价格,观望
男,本科,浙江-温州,华为/荣耀,两到三年,手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,套餐资费,否,有,3001-4000元,价格,看好
男,研究生,上海-松江区,小米/红米,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,网络覆盖,是,没有,4001-5000元,品牌→配置（如像素、储存空间）→价格→电池续航→外观→售后服务→网速,观望
女,本科,重庆-璧山区,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,支持,新应用场景,否,有,3001-4000元,品牌→价格→配置（如像素、储存空间）→外观→电池续航→售后服务→网速,看好
女,博士生及以上,福建-福州,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,网络覆盖,否,有,3001-4000元,网速→配置（如像素、储存空间）→电池续航→售后服务→价格→品牌→外观,观望
男,本科,北京-朝阳区,苹果,两到三年,手机性能/续航能力/空间不足,5001-6000元,一般了解,不支持,套餐资费,否,没有,6001-7000元,品牌,看好
女,研究生,北京-海淀区,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,一般了解,支持,套餐资费,是,有,4001-5000元,配置（如像素、储存空间）→价格→外观→电池续航→品牌→网速→售后服务,看好
男,研究生,北京-朝阳区,苹果,三年以上,手机性能/续航能力/空间不足,4001-5000元,一般了解,不支持,套餐资费,否,有,3001-4000元,品牌→价格→网速→配置（如像素、储存空间）→电池续航→外观→售后服务,看好
女,本科,江苏-苏州,苹果,三年以上,手机性能/续航能力/空间不足,7001元及以上,一般了解,不支持,设备升级问题,否,没有,6001-7000元,价格→配置（如像素、储存空间）→品牌→电池续航,观望
男,本科,上海-嘉定区,华为/荣耀,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,4001-5000元,一般了解,不支持,新应用场景,否,没有,4001-5000元,价格→品牌→电池续航,看好
女,本科,云南-大理,小米/红米,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,是,有,4001-5000元,价格→外观→配置（如像素、储存空间）→电池续航→品牌→网速→售后服务,看好
女,本科,山西-长治,VIVO,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,不了解,不支持,套餐资费,否,没有,3001-4000元,配置（如像素、储存空间）→价格→网速→电池续航→外观→品牌→售后服务,看好
男,本科,广东-深圳,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,新应用场景,是,没有,5001-6000元,价格→配置（如像素、储存空间）→品牌,看好
男,本科,安徽-淮南,小米/红米,半年到一年,追求潮流┋体验新功能,2000元及以下,一般了解,不支持,套餐资费,是,有,3001-4000元,品牌→价格→配置（如像素、储存空间）→网速→外观→电池续航→售后服务,看好
女,本科,宁夏-银川,小米/红米,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,否,有,3001-4000元,价格→网速→品牌→配置（如像素、储存空间）,看好
男,本科,北京-西城区,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,否,没有,2000-3000元,价格,观望
女,本科,浙江-杭州,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,7001元及以上,一般了解,不支持,设备升级问题,是,没有,7001元及以上,品牌→配置（如像素、储存空间）→网速→价格→外观→售后服务,观望
女,研究生,重庆-北碚区,VIVO,两到三年,手机性能/续航能力/空间不足,2000-3000元,不了解,不支持,套餐资费,否,没有,3001-4000元,价格→配置（如像素、储存空间）→售后服务,看好
女,本科,北京-海淀区,VIVO,两到三年,手机性能/续航能力/空间不足,2000-3000元,不了解,不支持,设备升级问题,否,有,5001-6000元,电池续航→配置（如像素、储存空间）→价格→网速→外观→售后服务→品牌,看好
女,本科,河南-郑州,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000元及以下,一般了解,不支持,套餐资费,是,有,2000-3000元,电池续航→配置（如像素、储存空间）→价格→网速→外观→售后服务→品牌,看好
女,研究生,天津-北辰区,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,网络覆盖,是,有,3001-4000元,配置（如像素、储存空间）→网速→价格→外观→品牌→电池续航→售后服务,看好
女,研究生,广东-深圳,OPPO,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,不了解,不支持,网络覆盖,否,没有,4001-5000元,价格→网速→配置（如像素、储存空间）→品牌→电池续航→售后服务,观望
女,本科,广东-深圳,魅族,三年以上,手机性能/续航能力/空间不足,3001-4000元,一般了解,不支持,新应用场景,是,没有,4001-5000元,价格→网速→配置（如像素、储存空间）→外观→售后服务→品牌→电池续航,看好
女,本科,北京-东城区,华为/荣耀,一到两年,手机性能/续航能力/空间不足,6001-7000元,一般了解,支持,网络覆盖,是,有,7001元及以上,电池续航,看好
男,博士生及以上,陕西-西安,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,是,没有,2000元及以下,价格→配置（如像素、储存空间）→品牌→外观→网速,观望
男,本科,山西-大同,苹果,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,5001-6000元,一般了解,不支持,套餐资费,否,有,6001-7000元,品牌→价格→配置（如像素、储存空间）→网速→外观→电池续航→售后服务,看好
